n: 3, q: 2, S(n,q): 1
n: 4, q: 2, S(n,q): 1
n: 5, q: 2, S(n,q): 2
n: 6, q: 2, S(n,q): 3
n: 7, q: 2, S(n,q): 5
n: 8, q: 2, S(n,q): 8
n: 9, q: 2, S(n,q): 14
n: 3, q: 3, S(n,q): 4
n: 4, q: 3, S(n,q): 8
n: 5, q: 3, S(n,q): 17
n: 6, q: 3, S(n,q): 41
n: 7, q: 3, S(n,q): 99
n: 8, q: 3, S(n,q): 247
n: 9, q: 3, S(n,q): 656
n: 3, q: 4, S(n,q): 9
n: 4, q: 4, S(n,q): 27
n: 5, q: 4, S(n,q): 81
n: 6, q: 4, S(n,q): 251
n: 7, q: 4, S(n,q): 829
n: 8, q: 4, S(n,q): 2753
n: 9, q: 4, S(n,q): 9805
n: 3, q: 5, S(n,q): 18
n: 4, q: 5, S(n,q): 64
n: 5, q: 5, S(n,q): 256
n: 6, q: 5, S(n,q): 1024
n: 7, q: 5, S(n,q): 4181
n: 8, q: 5, S(n,q): 17711
n: 9, q: 5, S(n,q): 76816
n: 3, q: 6, S(n,q): 32
n: 4, q: 6, S(n,q): 128
n: 5, q: 6, S(n,q): 625
n: 6, q: 6, S(n,q): 3125
n: 7, q: 6, S(n,q): 15625
n: 8, q: 6, S(n,q): 79244
n: 9, q: 6, S(n,q): 411481
